case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__sensitive_exfil__r015,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r015,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r015,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_4:effect_count=2|random_9:effect_count=2
record_update__sensitive_exfil__r015,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r016,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r016,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r016,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_8:effect_count=2
record_update__sensitive_exfil__r016,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r017,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r017,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r017,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_2:effect_count=2|random_3:effect_count=2|random_7:effect_count=2
record_update__sensitive_exfil__r017,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r018,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r018,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r018,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_5:effect_count=2|random_7:effect_count=2
record_update__sensitive_exfil__r018,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__sensitive_exfil__r019,record_update,sensitive_exfil,single_factor_observable,document_trust,True,False,0,
record_update__sensitive_exfil__r019,record_update,sensitive_exfil,single_factor_observable,nominal_repeat,True,False,10,
record_update__sensitive_exfil__r019,record_update,sensitive_exfil,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_3:effect_count=2|random_5:effect_count=2
record_update__sensitive_exfil__r019,record_update,sensitive_exfil,single_factor_observable,cep,True,True,10,sensitive_1:effect_count=2|sensitive_2:effect_count=2
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:effect_count=2|random_5:effect_count=2
record_update__ambient_neighbor__r000,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_6:effect_count=2|random_9:effect_count=2
record_update__ambient_neighbor__r001,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r002,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r002,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r002,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_6:effect_count=2|random_9:effect_count=2
record_update__ambient_neighbor__r002,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r003,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r003,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r003,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_2:effect_count=2
record_update__ambient_neighbor__r003,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r004,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r004,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r004,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_7:effect_count=2
record_update__ambient_neighbor__r004,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r005,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r005,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r005,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_9:effect_count=2
record_update__ambient_neighbor__r005,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r006,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r006,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r006,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_2:effect_count=2|random_3:effect_count=2|random_9:effect_count=2
record_update__ambient_neighbor__r006,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r007,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
record_update__ambient_neighbor__r007,record_update,ambient_neighbor,single_factor_observable,nominal_repeat,True,False,10,
record_update__ambient_neighbor__r007,record_update,ambient_neighbor,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:effect_count=2|random_4:effect_count=2|random_7:effect_count=2
record_update__ambient_neighbor__r007,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:effect_count=2
record_update__ambient_neighbor__r008,record_update,ambient_neighbor,single_factor_observable,document_trust,True,False,0,
