service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,task_assign,payload_eq,target_flip_p1,service,task_assign--target_flip_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_flip_p2,service,task_assign--target_flip_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_flip_both,service,task_assign--target_flip_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_flip_p1,service,task_assign--payload_flip_p1,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,payload_flip_p2,service,task_assign--payload_flip_p2,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,payload_flip_both,service,task_assign--payload_flip_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_from_payload_p1,service,task_assign--target_from_payload_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_from_payload_p2,service,task_assign--target_from_payload_p2,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,target_from_payload_both,service,task_assign--target_from_payload_both,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_from_target_p1,service,task_assign--payload_from_target_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,payload_from_target_p2,service,task_assign--payload_from_target_p2,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,payload_from_target_both,service,task_assign--payload_from_target_both,True,identity,identity,False,False,False,True,False,False,False
sqlite,task_assign,payload_eq,observer_drop_p1,observer_loss,task_assign--observer_drop_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,task_assign,payload_eq,observer_duplicate_p1,observer_retry,task_assign--observer_duplicate_p1,True,identity,identity,False,False,False,False,False,True,True
sqlite,task_assign,payload_eq,undeclared_probe_local_projection,projection,task_assign--undeclared_probe_local_projection,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,masked_missing_p1,observer_masking,task_assign--masked_missing_p1,True,identity,identity,True,True,True,True,False,False,False
sqlite,task_assign,payload_eq,masked_duplicate_p1,observer_masking,task_assign--masked_duplicate_p1,True,identity,identity,True,True,True,True,False,False,False
sqlite,task_assign,payload_eq,masked_target_flip_p1,observer_masking,task_assign--masked_target_flip_p1,True,identity,identity,True,True,True,True,False,True,True
sqlite,task_assign,payload_eq,masked_forbidden_p1,observer_masking,task_assign--masked_forbidden_p1,True,identity,identity,True,True,True,True,False,False,False
