case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__ambient_neighbor__r004,record_update,ambient_neighbor,single_factor_observable,cep,True,True,10,neighbor:main_effect_count=2
record_update__cross_tenant__r000,record_update,cross_tenant,single_factor_observable,document_trust,True,False,0,
record_update__cross_tenant__r000,record_update,cross_tenant,single_factor_observable,nominal_repeat,True,False,10,
record_update__cross_tenant__r000,record_update,cross_tenant,single_factor_observable,random_relational_fuzzing,True,True,10,random_2:main_effect_count=2|random_6:main_effect_count=2|random_8:main_effect_count=2
record_update__cross_tenant__r000,record_update,cross_tenant,single_factor_observable,cep,True,True,10,tenant_boundary:main_effect_count=2
record_update__cross_tenant__r001,record_update,cross_tenant,single_factor_observable,document_trust,True,False,0,
record_update__cross_tenant__r001,record_update,cross_tenant,single_factor_observable,nominal_repeat,True,False,10,
record_update__cross_tenant__r001,record_update,cross_tenant,single_factor_observable,random_relational_fuzzing,True,True,10,random_2:main_effect_count=2|random_5:main_effect_count=2
record_update__cross_tenant__r001,record_update,cross_tenant,single_factor_observable,cep,True,True,10,tenant_boundary:main_effect_count=2
record_update__cross_tenant__r002,record_update,cross_tenant,single_factor_observable,document_trust,True,False,0,
record_update__cross_tenant__r002,record_update,cross_tenant,single_factor_observable,nominal_repeat,True,False,10,
record_update__cross_tenant__r002,record_update,cross_tenant,single_factor_observable,random_relational_fuzzing,True,True,10,random_1:main_effect_count=2|random_2:main_effect_count=2|random_4:main_effect_count=2
record_update__cross_tenant__r002,record_update,cross_tenant,single_factor_observable,cep,True,True,10,tenant_boundary:main_effect_count=2
record_update__cross_tenant__r003,record_update,cross_tenant,single_factor_observable,document_trust,True,False,0,
record_update__cross_tenant__r003,record_update,cross_tenant,single_factor_observable,nominal_repeat,True,False,10,
record_update__cross_tenant__r003,record_update,cross_tenant,single_factor_observable,random_relational_fuzzing,True,True,10,random_0:main_effect_count=2|random_7:main_effect_count=2
record_update__cross_tenant__r003,record_update,cross_tenant,single_factor_observable,cep,True,True,10,tenant_boundary:main_effect_count=2
record_update__cross_tenant__r004,record_update,cross_tenant,single_factor_observable,document_trust,True,False,0,
record_update__cross_tenant__r004,record_update,cross_tenant,single_factor_observable,nominal_repeat,True,False,10,
record_update__cross_tenant__r004,record_update,cross_tenant,single_factor_observable,random_relational_fuzzing,True,True,10,random_3:main_effect_count=2|random_5:main_effect_count=2
record_update__cross_tenant__r004,record_update,cross_tenant,single_factor_observable,cep,True,True,10,tenant_boundary:main_effect_count=2
